캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자,전화번호,영업상태,폐업일자,휴업시작일자,휴업종료일자,우편번호,지역구분,총층수,주변환경,보험기관,건물용도,지상층수,지하층수,객실수
충주 비내캠프 체험학습장,,,,충청북도 충주시 앙성면 목미리 89-2 강천초등학교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주 커피박물관 관광농원 야영장,,,,충청북도 충주시 살미면 월악로 432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주반딧불오토캠핑장,,,,충청북도 충주시 엄정면 가춘리길 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주카누캠핑장,,,,충청북도 충주시 동량면 지등로 1276-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주호 캠핑월드,,,,충청북도 충주시 동량면 호반로 696-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카이로스오토야영장,,,,충청북도 충주시 동량면 미라실로 603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캠핑팔공팔,,,,충청북도 충주시 동량면 미라실로 689-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코코캠핑,,,,충청북도 충주시 대소원면 외동길 192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
큰집글램핑,,,,충청북도 충주시 노은면 대덕길 258-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
클럽멤피스글램핑&리조트,,,,충청북도 충주시 살미면 월악로 1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
탄금호 야영장,,,,충청북도 충주시 금가면 오미기2길 62-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔봉글램핑,,,,충청북도 충주시 대소원면 팔봉향산길 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펫 트리파크,,,,충청북도 충주시 앙성면 둔터로 625-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프라이빗 캠프닉,,,,충청북도 충주시 살미면 월악로 1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하너미 캠핑장,,,,충청북도 충주시 앙성면 하너미로 501-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하비비캠핑장,,,,충청북도 충주시 금가면 오미기2길 120-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햇살아래캠핑장,,,,충청북도 충주시 대소원면 창현로 809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행복숲체험원오토캠핑장,,,,충청북도 충주시 노은면 우성1길 191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호수위의하루,,,,충청북도 충주시 중앙탑면 반천안길 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)에이치엠제이,,,,충청북도 제천시 청풍면 연곡리 228-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFORESTA(라포레스타),,,,충청북도 제천시 금성면 월림리 16-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가마실캠핑장,,,,충청북도 제천시 자작동 242 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꽃댕이오토캠핑장,,,,충청북도 제천시 백운면 화당로2길 176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
늘해랑캠핑장,,,,충청북도 제천시 금성면 중포1안길 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달숲스테이,,,,충청북도 제천시 금성면 월림리 16-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달재오토캠핑장,,,,충청북도 제천시 백운면 덕동리 255 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대현캠핑장,,,,충청북도 제천시 봉양읍 명암리 198 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕동 산상낙원,,,,충청북도 제천시 백운면 덕동리 378 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕동계곡오토캠핑장,,,,충청북도 제천시 백운면 덕동로 161-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕동골 캠핑장,,,,충청북도 제천시 백운면 덕동리 292-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두더지CAMP,,,,충청북도 제천시 한수면 덕곡리 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
디투어스캠프클럽,,,,충청북도 제천시 청풍면 연곡리 228-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마린힐캠핑장,,,,충청북도 제천시 수산면 상천리 558-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무도글램핑,,,,충청북도 제천시 송학면 무도리 573 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미소가든펜션야영장,,,,충청북도 제천시 봉양읍 옥전리 58-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박달재옛길캠핑장,,,,충청북도 제천시 봉양읍 원박리 929-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박달재자연휴양림야영장,,,,충청북도 제천시 백운면 평동리 산 71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박달재초록꿈캠핑체험장,,,,충청북도 제천시 백운면 구학산로 690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발자크펜션캠핑장,,,,충청북도 제천시 덕동로 207-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밤별생각 낮달이야기,,,,충청북도 제천시 백운면 덕동리 275-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배론의 아침,,,,충청북도 제천시 봉양읍 구학리 448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백운일출캠핑장,,,,충청북도 제천시 백운면 구학산로 907-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
별수하야영장,,,,충청북도 제천시 백운면 운학리 171 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산내들캠핑,,,,충청북도 제천시 봉양읍 연박리 319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선녀와 나무꾼 캠핑장,,,,충청북도 제천시 청풍면 신리 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소풍가는날팬션오토캠핑장,,,,충청북도 제천시 백운면 덕동리 76-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔내음캠핑장,,,,충청북도 제천시 봉양읍 명암로 466-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송계계곡 숙박단지,,,,충청북도 제천시 한수면 복평리 111-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스카이운학 캠핑장,,,,충청북도 제천시 백운면 운학길 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스테리움 제천,,,,충청북도 제천시 백운면 운학리 105-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시골학교캠핑장,,,,충청북도 제천시 봉양읍 옥전리 180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
십자봉 야영장,,,,충청북도 제천시 백운면 덕동리 279-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엉클캠프(UNCLE CAMP),,,,충청북도 제천시 봉양읍 옥전리 225-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에프앤에프캠핑,,,,"충청북도 제천시 봉양읍 명암리 234, 232-4, 243-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘림펜션캠핑장,,,,충청북도 제천시 덕산면 수산리 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥전캠핑장,,,,충청북도 제천시 봉양읍 옥전리 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용두산오토캠핑장,,,,충청북도 제천시 모산동 산 2-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악 한울캠핑장,,,,충청북도 제천시 덕산면 월악산로 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산광천민박오토캠핑장,,,,충청북도 제천시 덕산면 월악리 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산국립공원 닷돈재자동차야영장,,,,충청북도 제천시 한수면 송계리 70-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산국립공원 덕주야영장,,,,충청북도 제천시 한수면 송계리 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산국립공원 송계자동차야영장,,,,충청북도 제천시 한수면 미륵송계로 1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산국립공원 용하야영장,,,,충청북도 제천시 덕산면 월악리 123-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산억수솔밭캠핑장,,,,충청북도 제천시 덕산면 월악리 341 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악산오토캠핑장,,,,충청북도 제천시 한수면 복평리 111-8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악오토캠핑장,,,,충청북도 제천시 덕산면 월악리 209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악파머스캠핑장,,,,충청북도 제천시 덕산면 월악산로 450-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월악힐링캠핑장,,,,충청북도 제천시 덕산면 월악리 207 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천 모노레일 글램핑,,,,충청북도 제천시 청풍면 도곡리 108-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천 하늘뜨레 서울캠핑장,,,,충청북도 제천시 송학면 송한리 543 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천J글램핑,,,,"충청북도 제천시 백운면 운학리 445-5, 681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천공전자연캠핑장,,,,충청북도 제천시 봉양읍 공전리 265 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천명암오토캠핑장,,,,충청북도 제천시 봉양읍 명암리 605-6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천모드니애 캠핑장,,,,충청북도 제천시 봉양읍 구학리 212-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천옛날학교캠핑장,,,,충청북도 제천시 덕산면 수산리 833-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천카라반 더그린,,,,충청북도 제천시 봉양읍 원박리 967-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제천캠핑랜드(승마오토),,,,충청북도 제천시 봉양읍 명도리 326-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청풍 월드니스 글램핑,,,,충청북도 제천시 청풍면 청풍호로49길 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청풍호반 오토캠핑장,,,,충청북도 제천시 청풍면 용곡리 681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청풍호오토캠핑장,,,,충청북도 제천시 금성면 청풍호로39길 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태라글램핑,,,,충청북도 제천시 봉양읍 옥전리 117-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패밀리오토캠핑장,,,,충청북도 제천시 덕산면 월악리 556-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평산오토캠핑장(쌍용어드벤처),,,,충청북도 제천시 백운면 덕동리 85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포레스트캐빈앤캠프,,,,충청북도 제천시 덕산면 월악리 514-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프렌즈캠핑장,,,,충청북도 제천시 청풍면 도곡리 산 92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하이락글램핑,,,,충청북도 제천시 봉양읍 연박리 353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학현아름마을오토캠핑장,,,,충청북도 제천시 청풍면 학현리 368-6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행복한나드리캠핑장,,,,충청북도 제천시 봉양읍 옥전리 286-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황토둥지캠핑체험장,,,,충청북도 제천시 청풍면 용곡리 976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
깃대캠핑장,,,,충청북도 보은군 마로면 세중기대로 261-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둥그레휴양마을,,,,충청북도 보은군 보은읍 강신리 384-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둥지캠핑장,,,,충청북도 보은군 내북면 회인내북로 874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은글램핑,,,,충청북도 보은군 속리산면 속리산로 1029-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사나래캠핑장,,,,충청북도 보은군 산외면 속리산로 1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
속리산사내리캠핑장,,,,충청북도 보은군 속리산면 법주사로 248-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
속리산알프스야영장,,,,충청북도 보은군 산외면 속리산로 1842-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
속리산풍경캠핑장,,,,충청북도 보은군 속리산면 중판1길 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어라운드빌리지,,,,충청북도 보은군 탄부면 사직1길 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오렌지캠프,,,,충청북도 보은군 속리산면 속리산로 995-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일상화 글램핑,,,,충청북도 보은군 산외면 성암가고로 235-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정이품송가든,,,,충청북도 보은군 장안면 개안길 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
키즈드림캠핑장,,,,충청북도 보은군 내북면 남부로 5825-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나드리 캠핑장,,,,충청북도 옥천군 청성면 삼남2길 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
너와두리농촌캠핑장,,,,충청북도 옥천군 청성면 한두레로 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마로니에숲 캠핑장,,,,충청북도 옥천군 이원면 장찬길 159-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장령산자연휴양림 야영장,,,,충청북도 옥천군 군서면 장령산로 519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달이머무는집,,,,충청북도 영동군 황간면 월류봉길 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달자캠핑장,,,,충청북도 영동군 상촌면 대해길 239-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리앤파크,,,,충청북도 영동군 황간면 구룡로 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맑은누리,,,,충청북도 영동군 상촌면 물한계곡로 1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
물한계곡 소나무펜션 캠핑장,,,,충청북도 영동군 상촌면 물한6길 8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
민주지산자연휴양림,,,,충청북도 영동군 용화면 휴양림길 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
범화권역 글램핑장,,,,충청북도 영동군 학산면 용화양강로 1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
별밤펜션 캠핑장,,,,충청북도 영동군 상촌면 물한계곡로 896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사계절 야영장,,,,충청북도 영동군 상촌면 물한계곡로 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송호관광지,,,,충청북도 영동군 양산면 송호로 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
핏들캠핑장,,,,충청북도 영동군 상촌면 물한계곡로 980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좌구산 오토캠핑장,,,,충청북도 증평군 증평읍 율리 790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덤바위,,,,충청북도 진천군 농다리로 615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이스캠프,,,,충청북도 진천군 진천읍 백곡로 1140-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소풍,,,,충청북도 진천군 광혜원면 화랑길 64-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스타밸리 캠핑장,,,,충청북도 진천군 백곡면 배티로 425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아빠캠핑가,,,,충청북도 진천군 백곡면 안구수길 34-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주식회사 더 샘터,,,,충청북도 진천군 문백면 봉죽2길 20-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진천 포레스트 캠핑장,,,,충청북도 진천군 백곡면 백곡로 778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초평밤나무,,,,충청북도 진천군 초평면 평화로 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충북대학교 천문대 천문 체험학교,,,,충청북도 진천군 문백면 은진로 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
힐사이드,,,,충청북도 진천군 문백면 태락3길 5-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The하루만캠핑장,,,,충청북도 괴산군 청천면 괴산로상신5길 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈론계곡캠핑장,,,,충청북도 괴산군 칠성면 칠성로10길 466-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강변오토캠핑장,,,,충청북도 괴산군 괴산읍 충민로 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개차반캠핑장,,,,충청북도 괴산군 사리면 소매1길 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴강 국민여가캠핑장,,,,충청북도 괴산군 괴산읍 충민로검승3길 10 (괴강관광지 관리동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴강관광농원캠핑장,,,,"충청북도 괴산군 칠성면 괴강로 354-14, 괴강관광농원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
글램핑스테이션,,,,충청북도 괴산군 연풍면 연풍로 823-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나무야나무야캠핑장,,,,충청북도 괴산군 연풍면 유상길 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학찰옥수수권역영농조합법인 팝콘야영장,,,,충청북도 괴산군 장연면 충민로 1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도레미 캠핑장,,,,충청북도 괴산군 불정면 관동로세평4길 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도명산캠핑장,,,,충청북도 괴산군 청천면 고성4길 4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
루파니애견캠핑장,,,,충청북도 괴산군 감물면 감물로 362-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모래재 캠핑장,,,,충청북도 괴산군 사리면 모래재로 483-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
물소리풍경,,,,충청북도 괴산군 칠성면 쌍곡로 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산새소리캠핑장,,,,충청북도 괴산군 청천면 도경로여사왕2길 4-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새들펜션가든 야영장,,,,충청북도 괴산군 칠성면 쌍곡리 88-6번지 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔밭캠프,,,,충청북도 괴산군 칠성면 쌍곡로 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔베이캠핑장,,,,충청북도 괴산군 감물면 충민로 1083-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숲속의하모니,,,,충청북도 괴산군 청천면 후평도원로 153-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
승암159캠핑장,,,,충청북도 괴산군 청천면 후평도원로 484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시냇가캠핑장,,,,충청북도 괴산군 칠성면 연풍로쌍곡길 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍곡예당야영장,,,,충청북도 괴산군 칠성면 쌍곡로1길 111 (쌍곡예당),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
써니밸리오토캠핑장,,,,충청북도 괴산군 청천면 화양로 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아빠의나무 야영장,,,,충청북도 괴산군 청천면 괴산로부성1길 15-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이뜰관광농원,,,,"충청북도 괴산군 장연면 충민로 1183, 아이뜰관광농원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자연애캠핑장,,,,충청북도 괴산군 괴산읍 능촌로 390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잔야캠핑,,,,충청북도 괴산군 청천면 도경로 638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청천수목원야영장,,,,충청북도 괴산군 청천면 도원1길 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청천화양동관광농원 초롱이 캠핑장,,,,충청북도 괴산군 청천면 다보길 8 (화양동관광농원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
칠성캠핑장,,,,충청북도 괴산군 칠성면 중부로 5611-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해밀터,,,,충청북도 괴산군 청천면 이평4길 23-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화양동야영장,,,,충청북도 괴산군 청천면 후영리 496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화양숲노리캠핑장,,,,충청북도 괴산군 청천면 화양로 834-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후평숲캠핑장,,,,충청북도 괴산군 청천면 후평도원로 129-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네이스트 프라이빗 음성,,,,충청북도 음성군 원남면 삼용리 471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백야자연휴양림 오토캠핑장,,,,충청북도 음성군 금왕읍 백야로 461-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔부엉이 캠핑장,,,,충청북도 음성군 음성읍 사정리 949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수레의산 국민여가캠핑장,,,,충청북도 음성군 생극면 차생로 310-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원남지 야영장,,,,충청북도 음성군 원남면 조촌리 930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Healing Camp,,,,충청북도 단양군 가곡면 새밭로 240-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립황정산자연휴양림,,,,충청북도 단양군 대강면 황정산로 239-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노동오토캠핑장,,,,충청북도 단양군 단양읍 단양노동길 2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다리안캠핑장,,,,충청북도 단양군 단양읍 소백산등산길 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양 남천 야영장,,,,충청북도 단양군 영춘면 남천4길 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양무지개오토캠핑장,,,,충청북도 단양군 가곡면 가대1길 84-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양팔경투어,,,,충청북도 단양군 단양읍 단양노동길 492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대강오토캠핑장,,,,충청북도 단양군 대강면 두음리 564-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반딧불자연캠핑장,,,,충청북도 단양군 단성면 두항1길 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불루캠핑장,,,,충청북도 단양군 가곡면 새밭로 797-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소나무캠핑,,,,충청북도 단양군 가곡면 새밭로 794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소백산국립공원 남천야영장,,,,충청북도 단양군 영춘면 남천계곡로 375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
